2005-01-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.08, RSI ~N/A, Net Advances 182, McClellan N/A, Score: 0/39
2009-01-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 38.56, RSI ~N/A, Net Advances 197, McClellan 377, Score: 0/39
2009-01-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.39, RSI ~N/A, Net Advances 187, McClellan 224, Score: 0/39
2009-01-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.56, RSI ~N/A, Net Advances 191, McClellan 226, Score: 0/39
2009-01-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.82, RSI ~N/A, Net Advances 184, McClellan 127, Score: 0/39
2009-01-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 45.84, RSI ~N/A, Net Advances 175, McClellan 19, Score: 0/39
2009-01-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.27, RSI ~N/A, Net Advances 177, McClellan 20, Score: 0/39
2009-01-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 49.14, RSI ~N/A, Net Advances 166, McClellan N/A, Score: 0/39
2009-01-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 51.00, RSI ~N/A, Net Advances 169, McClellan N/A, Score: 0/39
2009-01-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 46.11, RSI ~N/A, Net Advances 175, McClellan -30, Score: 0/39
2009-01-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 56.65, RSI ~N/A, Net Advances 163, McClellan -27, Score: 0/39
2009-01-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 46.42, RSI ~N/A, Net Advances 173, McClellan N/A, Score: 0/39
2009-01-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 47.29, RSI ~N/A, Net Advances 165, McClellan -34, Score: 0/39
2009-01-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 47.27, RSI ~N/A, Net Advances 167, McClellan N/A, Score: 0/39
2009-01-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 45.69, RSI ~N/A, Net Advances 172, McClellan 27, Score: 0/39
2009-01-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.25, RSI ~N/A, Net Advances 177, McClellan N/A, Score: 0/39
2009-01-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 39.66, RSI ~N/A, Net Advances 187, McClellan N/A, Score: 0/39
2009-01-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.63, RSI ~N/A, Net Advances 177, McClellan 38, Score: 0/39
2009-01-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 44.84, RSI ~N/A, Net Advances 170, McClellan N/A, Score: 0/39
2009-02-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 45.52, RSI ~N/A, Net Advances 169, McClellan -57, Score: 0/39
2009-02-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.06, RSI ~N/A, Net Advances 174, McClellan N/A, Score: 0/39
2009-02-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.85, RSI ~N/A, Net Advances 173, McClellan N/A, Score: 0/39
2009-02-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.73, RSI ~N/A, Net Advances 178, McClellan 2, Score: 0/39
2009-02-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.37, RSI ~N/A, Net Advances 188, McClellan N/A, Score: 0/39
2009-02-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.64, RSI ~N/A, Net Advances 187, McClellan 90, Score: 0/39
2009-02-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 46.67, RSI ~N/A, Net Advances 176, McClellan -39, Score: 0/39
2009-02-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 44.53, RSI ~N/A, Net Advances 179, McClellan N/A, Score: 0/39
2009-02-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 41.25, RSI ~N/A, Net Advances 179, McClellan -32, Score: 0/39
2009-02-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.93, RSI ~N/A, Net Advances 174, McClellan -66, Score: 0/39
2009-02-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 48.66, RSI ~N/A, Net Advances 163, McClellan -194, Score: 0/39
2009-02-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 48.46, RSI ~N/A, Net Advances 157, McClellan -236, Score: 0/39
2009-02-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 47.08, RSI ~N/A, Net Advances 151, McClellan -271, Score: 0/39
2009-02-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 49.30, RSI ~N/A, Net Advances 145, McClellan -314, Score: 0/39
2009-02-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 52.62, RSI ~N/A, Net Advances 134, McClellan -380, Score: 0/39
2009-02-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 45.49, RSI ~N/A, Net Advances 144, McClellan -209, Score: 0/39
2009-02-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 44.67, RSI ~N/A, Net Advances 139, McClellan -212, Score: 0/39
2009-02-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 44.66, RSI ~N/A, Net Advances 136, McClellan -193, Score: 0/39
2009-02-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 46.35, RSI ~N/A, Net Advances 132, McClellan -212, Score: 0/39
2009-03-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 52.65, RSI ~N/A, Net Advances 119, McClellan -311, Score: 0/39
2009-03-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 50.93, RSI ~N/A, Net Advances 115, McClellan -311, Score: 0/39
2009-03-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 47.56, RSI ~N/A, Net Advances 124, McClellan -164, Score: 0/39
2009-03-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 50.17, RSI ~N/A, Net Advances 112, McClellan -263, Score: 0/39
2009-03-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 49.33, RSI ~N/A, Net Advances 110, McClellan -255, Score: 0/39
2009-03-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 49.68, RSI ~N/A, Net Advances 104, McClellan -270, Score: 0/39
2009-03-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 44.37, RSI ~N/A, Net Advances 115, McClellan -82, Score: 0/39
2009-03-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.61, RSI ~N/A, Net Advances 117, McClellan -36, Score: 0/39
2009-03-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 41.18, RSI ~N/A, Net Advances 128, McClellan 108, Score: 0/39
2009-03-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.36, RSI ~N/A, Net Advances 131, McClellan 149, Score: 0/39
2009-03-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.74, RSI ~N/A, Net Advances 130, McClellan 163, Score: 0/39
2009-03-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 40.80, RSI ~N/A, Net Advances 139, McClellan 236, Score: 0/39
2009-03-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 40.06, RSI ~N/A, Net Advances 148, McClellan 309, Score: 0/39
2009-03-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.68, RSI ~N/A, Net Advances 146, McClellan 275, Score: 0/39
2009-03-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 45.89, RSI ~N/A, Net Advances 138, McClellan 162, Score: 0/39
2009-03-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 43.23, RSI ~N/A, Net Advances 150, McClellan 276, Score: 0/39
2009-03-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.93, RSI ~N/A, Net Advances 143, McClellan 181, Score: 0/39
2009-03-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.25, RSI ~N/A, Net Advances 149, McClellan 215, Score: 0/39
2009-03-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 40.36, RSI ~N/A, Net Advances 159, McClellan 280, Score: 0/39
2009-03-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 41.04, RSI ~N/A, Net Advances 150, McClellan 159, Score: 0/39
2009-03-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 45.54, RSI ~N/A, Net Advances 139, McClellan 17, Score: 0/39
2009-03-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 44.14, RSI ~N/A, Net Advances 146, McClellan 99, Score: 0/39
2009-04-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.28, RSI ~N/A, Net Advances 153, McClellan 162, Score: 0/39
2009-04-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 42.04, RSI ~N/A, Net Advances 164, McClellan 256, Score: 0/39
2009-04-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 39.70, RSI ~N/A, Net Advances 169, McClellan 271, Score: 0/39
2009-04-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 40.93, RSI ~N/A, Net Advances 162, McClellan 172, Score: 0/39
2009-04-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 40.39, RSI ~N/A, Net Advances 153, McClellan 57, Score: 0/39
2009-04-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 38.85, RSI ~N/A, Net Advances 161, McClellan 118, Score: 0/39
2009-04-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 36.53, RSI ~N/A, Net Advances 171, McClellan 214, Score: 0/39
2009-04-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 37.81, RSI ~N/A, Net Advances 172, McClellan 197, Score: 0/39
2009-04-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 37.67, RSI ~N/A, Net Advances 164, McClellan 105, Score: 0/39
2009-04-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 36.17, RSI ~N/A, Net Advances 171, McClellan 144, Score: 0/39
2009-04-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 35.79, RSI ~N/A, Net Advances 179, McClellan 205, Score: 0/39
2009-04-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 33.94, RSI ~N/A, Net Advances 183, McClellan 219, Score: 0/39
2009-04-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 39.18, RSI ~N/A, Net Advances 172, McClellan 53, Score: 0/39
2009-04-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 37.14, RSI ~N/A, Net Advances 181, McClellan 123, Score: 0/39
2009-04-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 38.10, RSI ~N/A, Net Advances 180, McClellan 108, Score: 0/39
2009-04-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 37.15, RSI ~N/A, Net Advances 183, McClellan 111, Score: 0/39
2009-04-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 36.82, RSI ~N/A, Net Advances 190, McClellan 165, Score: 0/39
2009-04-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 38.32, RSI ~N/A, Net Advances 184, McClellan 73, Score: 0/39
2009-04-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 37.95, RSI ~N/A, Net Advances 185, McClellan 57, Score: 0/39
2009-04-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 36.08, RSI ~N/A, Net Advances 195, McClellan 140, Score: 0/39
2009-04-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 36.50, RSI ~N/A, Net Advances 195, McClellan 121, Score: 0/39
2009-05-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 35.30, RSI ~N/A, Net Advances 198, McClellan 126, Score: 0/39
2009-05-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 34.53, RSI ~N/A, Net Advances 208, McClellan 202, Score: 0/39
2009-05-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 33.36, RSI ~N/A, Net Advances 205, McClellan 143, Score: 0/39
2009-05-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.45, RSI ~N/A, Net Advances 210, McClellan 167, Score: 0/39
2009-05-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 33.44, RSI ~N/A, Net Advances 204, McClellan 77, Score: 0/39
2009-05-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.05, RSI ~N/A, Net Advances 214, McClellan 160, Score: 0/39
2009-05-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.87, RSI ~N/A, Net Advances 207, McClellan 51, Score: 0/39
2009-05-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.80, RSI ~N/A, Net Advances 204, McClellan 0, Score: 0/39
2009-05-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 33.65, RSI ~N/A, Net Advances 192, McClellan -140, Score: 0/39
2009-05-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.37, RSI ~N/A, Net Advances 199, McClellan -72, Score: 0/39
2009-05-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 33.12, RSI ~N/A, Net Advances 194, McClellan -122, Score: 0/39
2009-05-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.24, RSI ~N/A, Net Advances 205, McClellan -5, Score: 0/39
2009-05-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.80, RSI ~N/A, Net Advances 206, McClellan 10, Score: 0/39
2009-05-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.03, RSI ~N/A, Net Advances 205, McClellan -6, Score: 0/39
2009-05-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.35, RSI ~N/A, Net Advances 198, McClellan -94, Score: 0/39
2009-05-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.63, RSI ~N/A, Net Advances 197, McClellan -90, Score: 0/39
2009-05-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.62, RSI ~N/A, Net Advances 208, McClellan 7, Score: 0/39
2009-05-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.36, RSI ~N/A, Net Advances 200, McClellan -73, Score: 0/39
2009-05-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.67, RSI ~N/A, Net Advances 205, McClellan -33, Score: 0/39
2009-05-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.92, RSI ~N/A, Net Advances 212, McClellan 27, Score: 0/39
2009-06-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.04, RSI ~N/A, Net Advances 222, McClellan 107, Score: 0/39
2009-06-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.63, RSI ~N/A, Net Advances 224, McClellan 103, Score: 0/39
2009-06-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.02, RSI ~N/A, Net Advances 217, McClellan 3, Score: 0/39
2009-06-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.18, RSI ~N/A, Net Advances 225, McClellan 65, Score: 0/39
2009-06-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.62, RSI ~N/A, Net Advances 224, McClellan 34, Score: 0/39
2009-06-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.77, RSI ~N/A, Net Advances 220, McClellan -29, Score: 0/39
2009-06-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.27, RSI ~N/A, Net Advances 222, McClellan -11, Score: 0/39
2009-06-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.46, RSI ~N/A, Net Advances 219, McClellan -40, Score: 0/39
2009-06-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.11, RSI ~N/A, Net Advances 222, McClellan -30, Score: 0/39
2009-06-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.15, RSI ~N/A, Net Advances 220, McClellan -55, Score: 0/39
2009-06-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.81, RSI ~N/A, Net Advances 209, McClellan -167, Score: 0/39
2009-06-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.68, RSI ~N/A, Net Advances 202, McClellan -227, Score: 0/39
2009-06-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.54, RSI ~N/A, Net Advances 201, McClellan -234, Score: 0/39
2009-06-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.03, RSI ~N/A, Net Advances 204, McClellan -186, Score: 0/39
2009-06-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.99, RSI ~N/A, Net Advances 207, McClellan -139, Score: 0/39
2009-06-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.17, RSI ~N/A, Net Advances 196, McClellan -244, Score: 0/39
2009-06-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.58, RSI ~N/A, Net Advances 195, McClellan -227, Score: 0/39
2009-06-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.05, RSI ~N/A, Net Advances 202, McClellan -135, Score: 0/39
2009-06-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.36, RSI ~N/A, Net Advances 212, McClellan -34, Score: 0/39
2009-06-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.93, RSI ~N/A, Net Advances 214, McClellan -12, Score: 0/39
2009-06-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.35, RSI ~N/A, Net Advances 218, McClellan 18, Score: 0/39
2009-06-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.35, RSI ~N/A, Net Advances 214, McClellan -14, Score: 0/39
2009-07-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.22, RSI ~N/A, Net Advances 221, McClellan 51, Score: 0/39
2009-07-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.95, RSI ~N/A, Net Advances 211, McClellan -55, Score: 0/39
2009-07-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.00, RSI ~N/A, Net Advances 209, McClellan -84, Score: 0/39
2009-07-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.85, RSI ~N/A, Net Advances 200, McClellan -165, Score: 0/39
2009-07-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.30, RSI ~N/A, Net Advances 195, McClellan -193, Score: 0/39
2009-07-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.78, RSI ~N/A, Net Advances 197, McClellan -140, Score: 0/39
2009-07-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.02, RSI ~N/A, Net Advances 196, McClellan -131, Score: 0/39
2009-07-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.31, RSI ~N/A, Net Advances 206, McClellan -20, Score: 0/39
2009-07-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.02, RSI ~N/A, Net Advances 212, McClellan 37, Score: 0/39
2009-07-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.89, RSI ~N/A, Net Advances 223, McClellan 149, Score: 0/39
2009-07-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.42, RSI ~N/A, Net Advances 230, McClellan 181, Score: 0/39
2009-07-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.34, RSI ~N/A, Net Advances 228, McClellan 151, Score: 0/39
2009-07-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.40, RSI ~N/A, Net Advances 237, McClellan 201, Score: 0/39
2009-07-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.87, RSI ~N/A, Net Advances 237, McClellan 172, Score: 0/39
2009-07-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.47, RSI ~N/A, Net Advances 239, McClellan 157, Score: 0/39
2009-07-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.43, RSI ~N/A, Net Advances 249, McClellan 232, Score: 0/39
2009-07-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.09, RSI ~N/A, Net Advances 253, McClellan 222, Score: 0/39
2009-07-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.28, RSI ~N/A, Net Advances 256, McClellan 223, Score: 0/39
2009-07-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.01, RSI ~N/A, Net Advances 254, McClellan 166, Score: 0/39
2009-07-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.61, RSI ~N/A, Net Advances 249, McClellan 98, Score: 0/39
2009-07-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.40, RSI ~N/A, Net Advances 258, McClellan 158, Score: 0/39
2009-07-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.92, RSI ~N/A, Net Advances 260, McClellan 155, Score: 0/39
2009-08-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.56, RSI ~N/A, Net Advances 270, McClellan 216, Score: 0/39
2009-08-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.89, RSI ~N/A, Net Advances 273, McClellan 199, Score: 0/39
2009-08-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.90, RSI ~N/A, Net Advances 270, McClellan 140, Score: 0/39
2009-08-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.67, RSI ~N/A, Net Advances 265, McClellan 63, Score: 0/39
2009-08-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.76, RSI ~N/A, Net Advances 274, McClellan 119, Score: 0/39
2009-08-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.99, RSI ~N/A, Net Advances 272, McClellan 73, Score: 0/39
2009-08-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.99, RSI ~N/A, Net Advances 265, McClellan -28, Score: 0/39
2009-08-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.45, RSI ~N/A, Net Advances 271, McClellan 14, Score: 0/39
2009-08-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.71, RSI ~N/A, Net Advances 275, McClellan 39, Score: 0/39
2009-08-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.27, RSI ~N/A, Net Advances 267, McClellan -52, Score: 0/39
2009-08-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.89, RSI ~N/A, Net Advances 256, McClellan -183, Score: 0/39
2009-08-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.18, RSI ~N/A, Net Advances 265, McClellan -88, Score: 0/39
2009-08-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.26, RSI ~N/A, Net Advances 269, McClellan -63, Score: 0/39
2009-08-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.09, RSI ~N/A, Net Advances 277, McClellan -3, Score: 0/39
2009-08-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.01, RSI ~N/A, Net Advances 287, McClellan 76, Score: 0/39
2009-08-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.14, RSI ~N/A, Net Advances 286, McClellan 46, Score: 0/39
2009-08-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.92, RSI ~N/A, Net Advances 289, McClellan 57, Score: 0/39
2009-08-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.95, RSI ~N/A, Net Advances 288, McClellan 25, Score: 0/39
2009-08-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.68, RSI ~N/A, Net Advances 289, McClellan 4, Score: 0/39
2009-08-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.76, RSI ~N/A, Net Advances 288, McClellan -15, Score: 0/39
2009-08-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.01, RSI ~N/A, Net Advances 281, McClellan -106, Score: 0/39
2009-09-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.15, RSI ~N/A, Net Advances 272, McClellan -208, Score: 0/39
2009-09-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.90, RSI ~N/A, Net Advances 268, McClellan -230, Score: 0/39
2009-09-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.10, RSI ~N/A, Net Advances 276, McClellan -131, Score: 0/39
2009-09-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.26, RSI ~N/A, Net Advances 285, McClellan -34, Score: 0/39
2009-09-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.62, RSI ~N/A, Net Advances 293, McClellan 29, Score: 0/39
2009-09-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.32, RSI ~N/A, Net Advances 299, McClellan 76, Score: 0/39
2009-09-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.55, RSI ~N/A, Net Advances 306, McClellan 125, Score: 0/39
2009-09-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.15, RSI ~N/A, Net Advances 306, McClellan 91, Score: 0/39
